Top 100 Dimension 3 Negative 	
Dim.3	TWEETS
-0.508	18960.         Obama's convention bounce is gone. @MittRomney has retaken the lead in the latest @RasmussenPoll  http://t.co/yOw3U3ja
-0.478	12453.         Mariano Rivera is greatest closer of all time. A leader in the club house &amp; an exceptional man. One of the best @Yankees in history.
-0.475	11338.         "Being good in business is the most fascinating kind of art.Making money is art &amp; working is art &amp; good business is the best art." A. Warhol
-0.471	16396.         The best deals are good for everyone, which creates a win-win situation. Negotiation is persuasion more than power.
-0.466	4454.            The Inspector General's report on Crooked Hillary Clinton is a disaster. Such bad judgement and temperament cannot be allowed in the W.H.
-0.462	20331.         Doral Tournament was great--best 18th hole in golf and a wonderful winner in @JustinRose
-0.461	19753.         Greece's financial calamity should serve as a warning. @BarackObama's massive deficit spending is unsustainable.
-0.46	17901.         The election was a major setback for economy. All young entrepreneurs should be sure to calculate Obama's policies into their investments.
-0.458	10200.         The best way to build a successful business is by results. In the end, that is what counts.
-0.455	10840.         Congratulations to @bostonpolice on yesterday’s successful and safe @bostonmarathon. The entire country is proud.
-0.455	12965.         Mark Levin's @marklevinshow 'The Liberty Amendments: Restoring the American Republic" is a truly great &amp; important book.
-0.454	12949.         Obama' ststement on Egypt was terrible and dumb-now being used by military as a rallying cry-our foreign policy is worst in U.S. history.
-0.448	5513.            Lying Cruz put out a statement, “Trump &amp; Rubio are w/Obama on gay marriage." Cruz is the worst liar, crazy or very dishonest. Perhaps all 3?
-0.447	18050.         In the heart of the city, Trump International Toronto is the city's most elite property http://t.co/VPxSMj4z  True luxury at its finest.
-0.445	18046.         Obama's war on women has lead to the biggest decline in female employment in 40 years. 4 more years??
-0.442	14921.         Jobs report is really bad - beyond the worst projections.A bad day on Wall Street!
-0.441	1889.            ...Trump/Russia story was an excuse used by the Democrats as justification for losing the election. Perhaps Trump just ran a great campaign?
-0.441	17866.         No surprise that @BBC is in a major scandal for shoddy journalism.  Any network that air’s @antbaxter’s garbage has zero credibility.
